Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VAR RCPT 0666.0,PASTILLA FRENO DEL/TRAS. SC124,REPUESTOS,VARGA,A,0,"362741,655",518721,"136,506",778082,422714
VAR RCRS 1257.9,DEPOSITO FLUIDO BAJO,REPUESTOS,VARGA,A,0,"54434,055",74847,"19,697",112271,82838
VAR RCRS 1813.5,DEPOSITO FLUIDO ALTO,REPUESTOS,VARGA,A,0,"51650,882",71020,"18,689",106530,102950
VAR RPBL 0005.8,CAMISA CIL.COMPRESOR STD SC,REPUESTOS,VARGA,A,0,507470,697771,"183,624",1046657,888405
VAR RRCD 0005.1,REPARO BOMBA CENTRAL 1313 PARC.,REPUESTOS,VARGA,A,0,"44805,845",61608,"16,213",92412,95019
VAR RRCD 0044.0,REPARO BOMBA CENTRAL SAVEIRO,REPUESTOS,VARGA,A,0,42512,0,0,0,0
VAR RRCD 5071.7,REPARO BOMBA CENTRAL 1113 COMPLETO,REPUESTOS,VARGA,A,0,"147221,345",210527,"55,402",315791,267743
VAR RRCD 5077.6,REPARO BOMBA CENTRAL 1113 PARC.,REPUESTOS,VARGA,A,0,"32513,636",44706,"11,765",67059,67059
VAR RRCD 5092.1,REPARO BOMBA CENTRAL 1313 COMPLETO,REPUESTOS,VARGA,A,0,"254545,455",350000,"92,105",525000,317378
VAR RRCE 0001.3,REPARO BOMBA EMBR.AUX.608,REPUESTOS,VARGA,A,0,"31328,182",43076,"11,336",64614,66614
VAR RRCE 0002.1,REPARO BOMBA EMBR.608,REPUESTOS,VARGA,A,0,"44499,1",61186,"16,102",91779,91454
VAR RRCE 0015.3,REPARO BOMBA EMBR.AUX.PICUDO,REPUESTOS,VARGA,A,0,41860,57558,"15,147",86337,81671
VAR RRCE 0017.1,REPARO BOMBA EMBR.709 SUP.FINO,REPUESTOS,VARGA,A,0,"58181,818",80000,"21,053",120000,99375
